State,Black,Latino,White
Wisconsin,2742,475,230
Oklahoma,2395,480,511
Idaho,2387,673,502
Montana,2272,293,371
Arizona,2105,742,428
Iowa,2084,327,225
Alaska,1987,238,417
Oregon,1932,376,344
Vermont,1737,-,239
Nebraska,1733,395,195
Kansas,1661,362,265
South Dakota,1660,432,280
Delaware,1654,355,324
California,1623,353,175
Colorado,1603,518,236
Arkansas,1597,252,450
Texas,1547,471,452
Nevada,1543,319,379
Ohio,1530,312,273
Pennsylvania,1523,469,206
Connecticut,1512,579,156
Michigan,1479,-,230
Indiana,1443,243,320
Louisiana,1411,28,381
Florida,1411,227,340
Utah,1383,299,167
Kentucky,1370,188,466
West Virginia,1337,155,348
Wyoming,1337,525,381
Maine,1331,-,143
Missouri,1297,214,336
Virginia,1246,135,287
New Mexico,1229,393,216
Washington,1195,287,222
Illinois,1166,223,156
Alabama,1132,-,421
Mississippi,1107,211,398
Minnesota,1023,186,105
NewJersey,1009,162,81
Georgia,1006,216,361
Tennessee,989,163,296
Hawaii,947,84,410
North Dakota,848,407,172
South Carolina,823,172,217
Rhode Island,821,239,131
North Carolina,810,194,209
New York,754,285,96
Maryland,746,123,141
New Hampshire,742,241,269
Massachusetts,466,260,63